time_s,eeg_uv,theta_filtered,gamma_filtered,theta_phase_rad,gamma_phase_rad
0.000000,0.373514,-0.250039,-0.000065,2.566728,1.573331
0.004002,-0.362749,-0.229034,-0.256138,-2.661808,-2.485214
0.008003,0.668791,-0.206204,0.316656,-2.566557,-0.303870
0.012005,-1.048151,-0.180996,-0.383092,-2.223565,2.437234
0.016006,0.160541,-0.152837,-0.281739,-2.116222,-1.970857
0.020008,0.117351,-0.121164,0.576402,-1.932830,-0.446082
0.024010,1.021812,-0.085473,0.353361,-1.820911,0.881877
0.028011,-0.246793,-0.045360,-0.450537,-1.687848,2.325110
0.032013,0.429488,-0.000556,-0.558967,-1.572198,-2.398691
0.036014,1.319665,0.049037,0.472138,-1.458437,-0.814369
0.040016,1.519810,0.103321,0.279429,-1.339438,0.943976
0.044018,0.945577,0.161981,-0.323038,-1.233105,-3.027719
0.048019,1.614048,0.224470,0.326020,-1.111256,-0.645842
0.052021,1.813094,0.290009,0.187777,-1.007030,1.197555
0.056022,0.851293,0.357590,-0.463023,-0.882898,2.566627
0.060024,1.436786,0.425992,-0.594519,-0.778190,-2.638956
0.064026,1.666512,0.493798,0.165203,-0.652327,-1.374388
0.068027,2.863578,0.559434,0.766967,-0.545825,0.073213
0.072029,1.621198,0.621201,-0.026928,-0.418714,1.637278
0.076030,1.639462,0.677325,0.083942,-0.309750,-0.660122
0.080032,1.831218,0.726002,0.157191,-0.181777,1.268785
0.084034,0.389733,0.765459,-0.675632,-0.070025,2.718110
0.088035,1.322672,0.794004,-0.500039,0.058518,-2.372842
0.092037,1.324563,0.810085,0.025717,0.173191,-1.533598
0.096038,2.770648,0.812352,0.778005,0.302097,-0.483736
0.100040,2.455673,0.799703,0.591858,0.419700,0.843921
0.104042,1.535242,0.771341,-0.331312,0.548833,2.129858
0.108043,1.747752,0.726813,-0.352650,0.669292,2.762563
0.112045,1.001366,0.666044,-0.591569,0.798569,-2.888462
0.116046,1.938856,0.589361,-0.015886,0.921750,-1.589068
0.120048,2.300928,0.497503,0.902203,1.051140,-0.104723
0.124050,1.646279,0.391625,0.069255,1.176865,1.475699
0.128051,0.725787,0.273285,-0.454946,1.306370,-3.137916
0.132053,1.169483,0.144418,0.069259,1.434422,-1.266576
0.136054,1.071154,0.007301,0.113738,1.564072,0.912364
0.140056,0.518979,-0.135495,-0.235750,1.694202,2.582196
0.144058,0.576528,-0.281164,-0.254537,1.824045,-2.319472
0.148059,0.753540,-0.426727,0.218225,1.955975,-0.973936
0.152061,0.789503,-0.569107,0.252204,2.086068,0.407663
0.156062,0.165061,-0.705206,-0.008389,2.219494,1.832129
0.160064,0.119604,-0.831979,0.260922,2.349889,0.240393
0.164066,-0.390359,-0.946520,-0.094246,2.484486,1.761206
0.168067,-1.363666,-1.046133,-0.540883,2.615224,-3.061356
0.172069,-0.628672,-1.128406,-0.088492,2.750653,-1.790673
0.176070,-0.949043,-1.191272,0.136736,2.881753,-1.017862
0.180072,-0.283319,-1.233071,0.267859,3.017670,-0.366021
0.184074,-0.892839,-1.252583,0.218152,-3.134056,0.756090
0.188075,-0.647931,-1.249071,-0.053918,-2.997988,1.842728
0.192077,-1.277263,-1.222289,-0.097403,-2.866201,2.101646
0.196078,-1.059206,-1.172495,-0.399015,-2.730305,-3.073133
0.200080,-1.074429,-1.100441,0.037153,-2.598252,-1.503232
0.204082,0.001406,-1.007352,0.556917,-2.462822,0.182470
0.208083,-0.757500,-0.894893,-0.149791,-2.330594,1.887874
0.212085,-0.577572,-0.765127,-0.318458,-2.195888,-2.770061
0.216086,0.286867,-0.620460,0.049300,-2.063599,-1.299522
0.220088,0.126647,-0.463586,0.040077,-1.929827,0.456099
0.224090,0.813098,-0.297417,-0.126426,-1.797613,-2.575892
0.228091,0.540535,-0.125020,0.177588,-1.664931,-1.128093
0.232093,1.836149,0.050455,0.658532,-1.532931,0.367281
0.236094,0.400943,0.225838,-0.271986,-1.401434,1.891154
0.240096,0.493449,0.398008,-0.746288,-1.269789,-2.927623
0.244098,1.068110,0.563946,-0.091087,-1.139513,-1.772885
0.248099,1.502858,0.720794,0.038990,-1.008349,-1.469546
0.252101,2.137051,0.865900,0.555148,-0.879273,-0.488662
0.256102,2.093296,0.996860,0.420213,-0.748700,0.865325
0.260104,1.528972,1.111547,-0.179840,-0.620749,2.113671
0.264106,1.783971,1.208141,-0.000557,-0.490846,1.572631
0.268107,1.024347,1.285145,-0.767217,-0.363896,2.736836
0.272109,1.497305,1.341392,-0.540804,-0.234707,-2.079551
0.276110,2.612817,1.376056,0.762140,-0.108593,-0.623894
0.280112,2.596498,1.388645,0.362272,0.019880,0.507812
0.284114,1.962017,1.379002,0.478246,0.145355,0.152302
