time_s,eeg_uv,theta_filtered,gamma_filtered,theta_phase_rad,gamma_phase_rad
0.000000,6.409303,-0.168189,0.000776,1.845905,-1.566710
0.004002,6.533769,-0.297543,0.212944,2.026031,-0.910800
0.008003,6.342655,-0.424684,0.691010,2.175645,0.266475
0.012005,5.871968,-0.546614,-0.136311,2.329179,1.757532
0.016006,4.206787,-0.660400,-0.342306,2.465989,3.115848
0.020008,5.255277,-0.763260,-0.227080,2.607946,3.086225
0.024010,3.428853,-0.852640,-0.066494,2.738646,-1.744456
0.028011,5.135706,-0.926293,0.355913,2.874154,0.189622
0.032013,2.760673,-0.982345,-0.211537,3.001478,2.392715
0.036014,3.791434,-1.019344,-0.041603,3.132949,-1.695188
0.040016,3.370995,-1.036309,0.411783,-3.024892,-0.045076
0.044018,3.085959,-1.032748,0.167379,-2.896118,1.134844
0.048019,3.174537,-1.008676,-0.175259,-2.771941,1.977971
0.052021,2.168161,-0.964607,-0.553902,-2.645027,-3.130697
0.056022,4.029530,-0.901533,-0.035760,-2.521495,-1.650236
0.060024,3.394626,-0.820895,0.105341,-2.395871,0.261747
0.064026,4.366339,-0.724530,-0.159162,-2.272615,-2.102400
0.068027,4.054912,-0.614620,0.432464,-2.147856,-0.693948
0.072029,4.629232,-0.493623,0.554091,-2.024592,0.456310
0.076030,3.297584,-0.364208,0.128904,-1.900358,1.343312
0.080032,2.957466,-0.229176,-0.264158,-1.776856,2.006319
0.084034,1.984454,-0.091395,-0.836072,-1.652857,2.899926
0.088035,2.525649,0.046280,-0.621841,-1.528925,-2.212150
0.092037,3.984187,0.181069,0.624570,-1.404917,-0.915901
0.096038,4.514771,0.310337,0.722702,-1.280400,0.497334
0.100040,3.731404,0.431652,-0.286902,-1.156172,2.194304
0.104042,3.917281,0.542834,-0.009679,-1.030945,-1.601161
0.108043,4.141032,0.641998,0.371901,-0.906315,0.561795
0.112045,2.936706,0.727586,-0.255478,-0.780288,2.268299
0.116046,2.944420,0.798382,-0.044188,-0.655100,-1.815589
0.120048,2.766397,0.853530,0.169234,-0.528217,1.140545
0.124050,1.956455,0.892525,-0.790360,-0.402354,2.800310
0.128051,2.396072,0.915213,-0.431592,-0.274608,-1.960601
0.132053,4.176297,0.921768,1.054644,-0.148005,-0.444959
0.136054,3.614365,0.912677,0.395864,-0.019457,1.126946
0.140056,2.785135,0.888707,-0.503436,0.107877,2.974873
0.144058,3.256493,0.850872,0.323669,0.237081,-0.572020
0.148059,3.007764,0.800402,0.064249,0.365054,1.469169
0.152061,1.497610,0.738695,-0.699239,0.494682,2.953275
0.156062,2.079400,0.667285,-0.394286,0.623110,-2.185944
0.160064,1.975462,0.587792,0.323660,0.752846,-1.160067
0.164066,3.104582,0.501889,1.043317,0.881458,0.085650
0.168067,1.538252,0.411266,0.094230,1.010920,1.491995
0.172069,0.537956,0.317589,-1.166040,1.139368,2.978822
0.176070,1.260275,0.222478,-0.186560,1.268125,-1.753986
0.180072,2.364942,0.127476,0.799230,1.396009,-0.116342
0.184074,1.415621,0.034030,-0.070386,1.523618,1.687009
0.188075,1.177379,-0.056526,-0.406134,1.650516,-2.533320
0.192077,1.757298,-0.142987,0.470807,1.776558,-0.295741
0.196078,1.103120,-0.224280,-0.217325,1.902060,1.966223
0.200080,0.417373,-0.299478,-0.385705,2.026169,-2.138287
0.204082,1.444638,-0.367795,0.871270,2.149910,-0.181406
0.208083,0.433390,-0.428594,0.007777,2.271800,1.562119
0.212085,-0.875546,-0.481382,-0.690172,2.393485,3.093700
0.216086,0.281632,-0.525808,-0.213407,2.512971,-2.047940
0.220088,-0.035037,-0.561653,0.289440,2.632394,-0.964827
0.224090,1.187226,-0.588832,0.466558,2.749394,0.782096
0.228091,-0.867984,-0.607375,-0.881245,2.866452,2.880036
0.232093,0.711315,-0.617425,0.236705,2.980984,-1.391509
0.236094,1.557527,-0.619224,1.465335,3.095662,0.475414
0.240096,-1.398485,-0.613104,-1.095343,-3.075359,2.301087
0.244098,-0.898557,-0.599480,-0.660756,-2.962998,-2.094133
0.248099,-0.066549,-0.578836,0.914291,-2.853043,-0.029214
0.252101,-0.745988,-0.551717,-0.395931,-2.742884,2.249221
0.256102,-1.055397,-0.518719,-0.011907,-2.634944,-1.597995
0.260104,0.185876,-0.480479,0.129088,-2.526830,1.238225
0.264106,-1.161895,-0.437661,-0.572159,-2.420679,-2.621410
0.268107,1.171826,-0.390949,0.688047,-2.314412,-0.712665
0.272109,0.482467,-0.341030,0.528082,-2.209792,0.989519
0.276110,-0.224792,-0.288590,-0.682368,-2.105127,2.536780
0.280112,-0.206050,-0.234298,-0.495181,-2.001743,-2.407957
0.284114,0.382819,-0.178806,0.239008,-1.898389,-1.196424
0.288115,1.145412,-0.122736,0.734459,-1.795908,0.179528
