time_s,eeg_uv,theta_filtered,gamma_filtered,theta_phase_rad,gamma_phase_rad
0.000000,-1.253556,0.486180,0.000109,-1.131421,-1.570478
0.004002,1.293387,0.672986,0.032200,-0.760661,-1.544405
0.008003,4.863355,0.840406,1.801337,-0.608272,-0.592957
0.012005,6.029609,0.981340,2.639128,-0.334538,0.362960
0.016006,3.687339,1.089464,0.853963,-0.179372,1.298730
0.020008,-0.538662,1.159492,-2.029443,0.051292,2.228332
0.024010,-2.877532,1.187390,-3.340895,0.209399,-3.105698
0.028011,-1.903820,1.170547,-1.738155,0.415329,-2.133753
0.032013,1.023133,1.107901,1.228774,0.576850,-1.166221
0.036014,2.847241,1.000000,2.938115,0.767367,-0.203862
0.040016,1.910748,0.849018,2.050003,0.932389,0.758982
0.044018,-0.824130,0.658709,-0.334183,1.112947,1.700736
0.048019,-3.143047,0.434297,-2.044090,1.281241,2.628400
0.052021,-3.537346,0.182323,-1.938970,1.455316,-2.708715
0.056022,-2.421877,-0.089564,-0.351390,1.626423,-1.754193
0.060024,-0.955370,-0.372849,1.194183,1.796356,-0.825824
0.064026,-0.744898,-0.658429,1.694574,1.969640,0.073751
0.068027,-1.548331,-0.936905,0.936237,2.137052,0.998356
0.072029,-3.529960,-1.198892,-0.680764,2.311741,1.976368
0.076030,-4.578047,-1.435328,-1.604515,2.477741,2.953090
0.080032,-4.271798,-1.637775,-1.151624,2.652973,-2.392224
0.084034,-2.902573,-1.798703,0.222322,2.818272,-1.432962
0.088035,-1.555669,-1.911737,1.517593,2.993166,-0.430141
0.092037,-1.655756,-1.971880,1.416095,-3.125031,0.551657
0.096038,-2.854547,-1.975676,0.163443,-2.951308,1.472378
0.100040,-4.102769,-1.921342,-1.269284,-2.786498,2.378604
0.104042,-4.383993,-1.808834,-1.866463,-2.614661,-2.949360
0.108043,-2.781461,-1.639867,-0.773889,-2.450097,-1.966658
0.112045,-0.447954,-1.417877,1.111062,-2.280692,-1.013140
0.116046,1.023988,-1.147928,2.275096,-2.116576,-0.081567
0.120048,0.635180,-0.836567,1.630872,-1.949950,0.874246
0.124050,-1.629413,-0.491643,-0.783610,-1.786554,1.856217
0.128051,-3.119280,-0.122077,-2.844225,-1.622853,2.847324
0.132053,-2.057603,0.262391,-2.387620,-1.460464,-2.443236
0.136054,1.632317,0.651481,0.374113,-1.299655,-1.454780
0.140056,4.752641,1.034668,2.953948,-1.138541,-0.476360
0.144058,5.168694,1.401490,3.008164,-0.980454,0.486325
0.148059,2.603271,1.741839,0.470601,-0.820829,1.435822
0.152061,-0.452153,2.046252,-2.637298,-0.665194,2.388100
