time_s,eeg_uv,theta_filtered,gamma_filtered,theta_phase_rad,gamma_phase_rad
0.000000,0.983906,-0.185970,0.000948,-2.019148,1.568941
0.004002,0.778126,-0.063733,-0.791221,-1.685900,2.622741
0.008003,0.974459,0.061790,-0.908813,-1.466781,-2.523647
0.012005,2.400158,0.188114,0.150479,-1.282673,-1.456113
0.016006,3.521341,0.312737,1.513807,-1.108009,-0.303516
0.020008,3.098748,0.433191,1.051021,-0.956741,0.908293
0.024010,0.932028,0.547101,-0.725062,-0.802984,2.035481
0.028011,0.265161,0.652225,-1.480521,-0.666508,2.994754
0.032013,0.583560,0.746500,-1.178449,-0.524807,-2.436516
0.036014,1.968068,0.828075,0.076800,-0.396375,-1.528231
0.040016,3.884887,0.895345,1.825305,-0.262311,-0.497465
0.044018,3.610811,0.946975,1.823933,-0.138575,0.570442
0.048019,1.784394,0.981925,-0.026054,-0.009571,1.582961
0.052021,-0.413199,0.999458,-1.818689,0.111418,2.556757
0.056022,-0.397891,0.999156,-2.071574,0.237040,-2.725984
0.060024,1.312686,0.980915,-0.295135,0.356557,-1.700329
0.064026,3.734545,0.944947,1.717570,0.479988,-0.680036
0.068027,3.908968,0.891780,1.995934,0.598941,0.298618
0.072029,2.544595,0.822244,0.659574,0.721081,1.244922
0.076030,0.260527,0.737459,-1.321760,0.840157,2.242911
0.080032,-0.710700,0.638822,-2.067733,0.961723,-2.977643
0.084034,0.672340,0.527976,-0.649029,1.081473,-1.916950
0.088035,2.286358,0.406791,1.019245,1.203064,-0.911943
0.092037,2.843219,0.277331,1.462912,1.323947,0.028544
0.096038,1.975095,0.141827,0.787435,1.446082,0.950108
0.100040,0.684584,0.002641,-0.411957,1.568481,1.898353
0.104042,-0.425776,-0.137773,-1.155520,1.691607,2.847138
0.108043,-0.228762,-0.276907,-0.932656,1.815838,-2.479122
0.112045,0.633829,-0.412246,0.149095,1.940339,-1.442433
0.116046,1.633364,-0.541309,0.980266,2.066649,-0.348071
0.120048,1.115686,-0.661696,0.633230,2.192847,0.686687
0.124050,0.568641,-0.771132,0.045040,2.321410,1.499710
0.128051,-0.166619,-0.867510,-0.405708,2.449555,2.212071
0.132053,-0.775826,-0.948937,-0.856789,2.580455,-3.055629
0.136054,-0.408476,-1.013776,-0.231736,2.710706,-1.817318
0.140056,0.329479,-1.060685,0.739787,2.843924,-0.511106
0.144058,-0.146800,-1.088647,0.426444,2.976336,0.736383
0.148059,-0.802646,-1.097000,0.026081,3.111734,1.472047
0.152061,-0.865437,-1.085458,0.028096,-3.036939,1.496520
0.156062,-1.556867,-1.054121,-0.554765,-2.899618,2.566724
0.160064,-1.552396,-1.003483,-0.632698,-2.763196,-2.493710
0.164066,-0.643463,-0.934424,0.152131,-2.624328,-1.376318
0.168067,0.079136,-0.848197,0.734882,-2.486311,-0.413789
0.172069,0.343405,-0.746400,0.781196,-2.346369,0.576209
0.176070,-0.408879,-0.630948,-0.115415,-2.207176,1.679352
0.180072,-1.037613,-0.504029,-1.038378,-2.066695,2.798926
0.184074,-0.667837,-0.368057,-0.834474,-1.926819,-2.453409
0.188075,0.602166,-0.225622,0.087717,-1.786354,-1.493349
0.192077,1.609125,-0.079432,1.111055,-1.646323,-0.467811
0.196078,1.759701,0.067747,1.025824,-1.506399,0.592441
0.200080,0.659340,0.213148,0.079395,-1.366724,1.500255
0.204082,0.017564,0.354062,-0.788078,-1.227794,2.250937
0.208083,-0.681213,0.487895,-1.654995,-1.088924,-3.085937
0.212085,0.459477,0.612215,-0.759596,-0.951333,-1.969468
0.216086,2.839534,0.724804,1.272853,-0.813630,-0.862768
0.220088,3.288089,0.823693,1.829688,-0.677604,0.101018
0.224090,2.559561,0.907206,1.084147,-0.541323,0.987064
0.228091,0.247247,0.973979,-0.934939,-0.406964,1.998344
0.232093,-1.173735,1.022981,-2.340285,-0.272241,3.094404
0.236094,0.028043,1.053526,-1.179614,-0.139533,-2.138073
0.240096,2.300225,1.065272,0.800645,-0.006390,-1.173032
0.244098,3.454046,1.058222,2.007259,0.124783,-0.193988
0.248099,2.971466,1.032715,1.299171,0.256417,0.828287
0.252101,0.735151,0.989407,-0.317770,0.386244,1.762867
0.256102,-0.203855,0.929256,-1.359724,0.516518,2.555242
0.260104,-1.208877,0.853492,-1.807221,0.645247,-2.795949
0.264106,0.577548,0.763587,-0.211052,0.774378,-1.672302
0.268107,2.337437,0.661224,1.632485,0.902304,-0.527493
0.272109,2.034164,0.548265,1.371855,1.030561,0.472941
0.276110,0.994592,0.426717,0.340052,1.158005,1.329665
0.280112,-0.693234,0.298701,-1.008475,1.285690,2.303228
0.284114,-1.141616,0.166413,-1.414101,1.412980,-2.879407
0.288115,-0.207294,0.032090,-0.304794,1.540414,-1.821711
0.292117,0.724279,-0.102018,0.593211,1.667880,-0.953230
0.296118,1.172222,-0.233686,1.055366,1.795392,-0.124687
0.300120,0.834731,-0.360741,0.753044,1.923349,0.880326
0.304122,-0.506434,-0.481092,-0.473240,2.051262,1.972825
0.308123,-1.258894,-0.592757,-1.151986,2.179995,3.061417
0.312125,-0.809046,-0.693894,-0.587660,2.308606,-2.152352
0.316126,0.202196,-0.782827,0.432701,2.438357,-1.102197
0.320128,0.519487,-0.858069,0.822743,2.567925,-0.109899
0.324130,0.129689,-0.918348,0.529994,2.698879,0.774058
0.328131,-0.569559,-0.962627,-0.051826,2.829610,1.637559
0.332133,-1.478827,-0.990124,-0.775250,2.961884,2.649666
0.336134,-1.497103,-1.000332,-0.722221,3.093915,-2.496254
0.340136,-0.738390,-0.993028,0.155629,-3.055644,-1.367001
0.344138,-0.479200,-0.968290,0.470741,-2.922258,-0.519812
0.348139,-0.394977,-0.926496,0.600594,-2.787330,-0.108831
0.352141,-0.438983,-0.868325,0.702186,-2.652619,0.803951
0.356142,-1.590915,-0.794756,-0.588212,-2.516525,2.017603
0.360144,-2.519982,-0.707051,-1.447316,-2.380606,-3.017478
0.364146,-1.107559,-0.606737,-0.398567,-2.243560,-1.877032
0.368147,0.062071,-0.495590,0.702378,-2.106632,-0.938955
0.372149,0.862680,-0.375593,1.272461,-1.968905,-0.052784
0.376150,0.522665,-0.248911,0.814329,-1.831230,0.957410
0.380152,-0.822139,-0.117842,-0.567554,-1.693131,1.981345
0.384154,-1.309505,0.015224,-1.372052,-1.555008,2.885802
0.388155,-1.090663,0.147849,-1.324274,-1.416850,-2.506816
0.392157,0.839802,0.277596,0.204646,-1.278594,-1.467147
0.396158,2.786242,0.402078,2.011703,-1.140674,-0.348204
0.400160,2.411076,0.519009,1.546114,-1.002587,0.732834
0.404162,0.502138,0.626246,-0.287736,-0.865160,1.716301
0.408163,-0.978163,0.721832,-1.805456,-0.727502,2.663464
0.412165,-0.966535,0.804035,-1.861409,-0.590756,-2.616863
0.416166,1.168791,0.871376,-0.013014,-0.453727,-1.576791
0.420168,3.072582,0.922657,1.763966,-0.317775,-0.563265
0.424170,3.224954,0.956986,1.845564,-0.181508,0.406251
0.428171,1.593601,0.973785,0.398773,-0.046393,1.368172
0.432173,-0.370842,0.972805,-1.357686,0.089048,2.335562
0.436174,-1.131005,0.954121,-1.928124,0.223357,-2.985074
0.440176,-0.008523,0.918126,-0.836180,0.357988,-2.009354
0.444178,1.800981,0.865520,1.039355,0.491591,-1.010068
0.448179,2.738574,0.797291,1.873338,0.625496,-0.025701
0.452181,1.655043,0.714700,1.119101,0.758548,0.910569
0.456182,-0.149281,0.619252,-0.548025,0.891865,1.862162
0.460184,-1.875702,0.512670,-1.954496,1.024560,2.908629
0.464186,-1.254356,0.396860,-1.239001,1.157471,-2.266456
0.468187,0.749841,0.273882,0.610024,1.290030,-1.193959
0.472189,1.374065,0.145912,1.321384,1.422754,-0.249684
0.476190,1.364982,0.015209,1.025334,1.555420,0.604535
0.480192,0.001282,-0.115916,0.053077,1.688196,1.528435
0.484194,-0.918168,-0.245141,-1.004170,1.821205,2.535535
0.488195,-1.358116,-0.370167,-1.022737,1.954269,-2.739088
0.492197,-0.348765,-0.488753,-0.211072,2.087840,-1.786760
0.496198,0.273545,-0.598755,0.573682,2.221418,-0.886353
0.500200,0.770566,-0.698159,0.901748,2.355742,0.010326
0.504202,0.341387,-0.785115,0.545147,2.490032,0.969369
0.508203,-0.772009,-0.857969,-0.467054,2.625259,2.037224
0.512205,-1.354437,-0.915298,-1.043329,2.760423,-3.095029
0.516206,-0.948530,-0.955932,-0.337424,2.896647,-1.936010
0.520208,0.075402,-0.978991,0.511886,3.032789,-0.864268
0.524210,-0.139758,-0.983900,0.688329,-3.113143,0.072529
0.528211,-0.203626,-0.970409,0.365162,-2.975979,1.017390
0.532213,-1.266775,-0.938608,-0.326753,-2.837731,2.060746
0.536214,-1.299922,-0.888932,-0.623377,-2.699565,3.058374
0.540216,-1.309196,-0.822164,-0.448261,-2.560420,-2.415840
0.544218,-0.633158,-0.739430,-0.000899,-2.421344,-1.572034
0.548219,0.076616,-0.642179,0.754182,-2.281460,-0.554345
0.552221,0.344569,-0.532169,0.873009,-2.141622,0.481045
0.556222,-0.311529,-0.411430,0.135673,-2.001204,1.447090
0.560224,-1.273587,-0.282232,-1.021019,-1.860802,2.439198
0.564226,-1.384437,-0.147040,-1.482748,-1.720083,-2.742379
0.568227,0.218369,-0.008466,-0.037820,-1.579348,-1.592569
0.572229,2.136360,0.130786,1.477240,-1.438573,-0.498449
0.576230,1.907744,0.267974,1.425632,-1.297753,0.481676
0.580232,0.942552,0.400384,0.224340,-1.157163,1.435483
0.584234,-0.784317,0.525383,-1.318225,-1.016498,2.452842
0.588235,-0.638113,0.640481,-1.511201,-0.876303,-2.834245
0.592237,0.513381,0.743381,-0.611810,-0.736013,-2.003428
0.596238,2.054091,0.832032,0.572453,-0.596389,-1.220221
0.600240,3.720467,0.904677,2.005550,-0.456662,-0.238788
0.604242,3.156683,0.959887,1.484444,-0.317745,0.861817
0.608243,0.774930,0.996597,-0.809394,-0.178731,1.944822
0.612245,-0.560681,1.014126,-2.004358,-0.040610,2.927303
0.616246,-0.064920,1.012185,-1.557516,0.097593,-2.444737
0.620248,1.692083,0.990880,0.172162,0.234885,-1.491079
0.624250,3.677483,0.950706,2.026582,0.372228,-0.466048
0.628251,3.231082,0.892531,1.869429,0.508703,0.582879
