time_s,eeg_uv,theta_filtered,gamma_filtered,theta_phase_rad,gamma_phase_rad
0.000000,14.437189,-0.082689,0.000291,1.772656,-1.569615
0.004002,14.432412,-0.163894,0.597961,1.908523,-0.544256
0.008003,13.365835,-0.241009,0.677018,2.052006,0.761459
0.012005,12.269677,-0.313129,-0.435280,2.172063,2.016822
0.016006,10.453414,-0.379481,-0.981056,2.298127,-2.830039
0.020008,12.207114,-0.439435,0.394768,2.408887,-1.112253
0.024010,11.154840,-0.492502,0.385260,2.524928,0.884403
0.028011,10.699219,-0.538332,-0.421560,2.629341,-2.895603
0.032013,10.723360,-0.576712,0.485319,2.738335,-0.633119
0.036014,10.740395,-0.607552,0.365764,2.837965,1.055082
0.040016,8.875110,-0.630875,-0.579428,2.941533,2.539423
0.044018,9.039255,-0.646801,-0.422429,3.037369,-2.447933
0.048019,8.587024,-0.655537,0.060910,3.136569,-1.451290
0.052021,9.123444,-0.657358,0.665739,-3.053846,-0.283241
0.056022,8.047135,-0.652589,0.360238,-2.958219,1.140314
0.060024,6.715987,-0.641598,-0.780059,-2.867915,2.633954
0.064026,6.617559,-0.624775,-0.419598,-2.775191,-2.113562
0.068027,7.304904,-0.602524,0.585565,-2.686807,-0.491132
0.072029,6.652557,-0.575251,0.128900,-2.596373,1.277511
0.076030,5.934883,-0.543353,-0.206444,-2.509377,-2.770691
0.080032,6.232064,-0.507217,0.246549,-2.420638,0.039662
0.084034,5.526388,-0.467208,-0.160165,-2.334489,2.033097
0.088035,5.084074,-0.423671,-0.282822,-2.246845,-2.409793
0.092037,5.624313,-0.376930,0.305714,-2.160989,-0.404730
0.096038,4.631936,-0.327289,-0.105393,-2.073835,1.924858
0.100040,4.811610,-0.275037,-0.185905,-1.987708,-2.038490
0.104042,4.777908,-0.220450,0.589954,-1.900440,-0.116921
0.108043,4.724479,-0.163800,-0.012497,-1.813483,1.588173
0.112045,3.169760,-0.105363,-0.731580,-1.725507,-3.035562
0.116046,4.795449,-0.045422,0.163054,-1.637177,-1.321671
0.120048,4.511011,0.015718,0.500923,-1.547925,0.494169
0.124050,4.229563,0.077730,-0.400552,-1.457715,2.384811
0.128051,3.996202,0.140251,-0.303695,-1.366660,-2.056312
0.132053,5.301756,0.202878,0.767243,-1.274106,-0.320317
0.136054,4.589606,0.265162,0.191470,-1.180768,1.354013
0.140056,3.543890,0.326603,-0.784144,-1.085464,3.008843
0.144058,4.150179,0.386644,-0.016890,-0.989422,-1.603911
0.148059,4.218921,0.444672,0.122325,-0.891027,0.390251
0.152061,3.579265,0.500013,-0.103395,-0.791931,-1.926779
0.156062,4.364447,0.551939,0.573901,-0.690189,-0.295528
0.160064,3.476032,0.599673,0.295013,-0.587776,1.145383
0.164066,3.016961,0.642398,-0.473610,-0.482526,2.374492
0.168067,2.425500,0.679270,-0.595641,-0.376633,-2.942635
0.172069,3.109633,0.709433,-0.276693,-0.267824,-1.990793
0.176070,3.665481,0.732046,0.466106,-0.158402,-0.911439
0.180072,4.077401,0.746300,0.764400,-0.046100,0.185998
0.184074,3.615106,0.751451,0.273215,0.066779,1.202844
0.188075,2.658499,0.746845,-0.458696,0.182390,2.166632
0.192077,2.439351,0.731950,-0.950684,0.298540,-3.006198
0.196078,2.909475,0.706384,-0.156501,0.417171,-1.725784
0.200080,4.251342,0.669937,0.792976,0.536302,-0.417539
0.204082,3.727402,0.622603,0.471974,0.657579,0.666998
0.208083,3.550981,0.564592,0.141874,0.779315,1.313688
0.212085,2.849465,0.496349,-0.561070,0.902792,2.324478
