time_s,eeg_uv,theta_filtered,gamma_filtered,theta_phase_rad,gamma_phase_rad
0.000000,-0.822902,-0.074901,-0.000095,2.055562,-1.570989
0.004002,0.081449,-0.112737,0.753896,2.203573,-0.209154
0.008003,-0.493454,-0.149646,0.188685,2.385384,1.198242
0.012005,-0.607436,-0.184306,0.093258,2.549608,0.698332
0.016006,-0.782368,-0.215410,0.115443,2.725039,1.337200
0.020008,-1.529651,-0.241710,-0.501208,2.889665,2.628992
0.024010,-1.249665,-0.262060,-0.308617,3.060719,-2.340205
0.028011,-0.834047,-0.275449,0.124337,-3.059011,-0.898379
0.032013,-0.465810,-0.281044,-0.099460,-2.891766,-2.680190
0.036014,-0.269791,-0.278210,0.164998,-2.730038,-1.082729
0.040016,0.654600,-0.266541,0.361166,-2.566305,0.314087
0.044018,0.041204,-0.245874,0.102537,-2.406541,1.173105
0.048019,0.329937,-0.216303,-0.057203,-2.246035,1.732505
0.052021,-0.549600,-0.178181,-0.497603,-2.088297,2.986341
0.056022,-0.002350,-0.132122,-0.105252,-1.930700,-1.765842
0.060024,0.386329,-0.078989,0.472041,-1.774939,-0.145515
0.064026,0.138178,-0.019881,0.068625,-1.619916,1.342765
0.068027,0.086416,0.043893,-0.034425,-1.466018,1.777609
0.072029,0.202090,0.110839,-0.310917,-1.313230,2.589052
0.076030,0.248269,0.179315,-0.287347,-1.161044,-2.217319
0.080032,1.260532,0.247573,0.260270,-1.010168,-0.799227
0.084034,1.025333,0.313799,0.195794,-0.859528,-0.252013
0.088035,1.410662,0.376162,0.419092,-0.710262,0.265865
0.092037,0.699682,0.432865,-0.069155,-0.560993,1.675924
0.096038,0.023655,0.482188,-0.625848,-0.413061,-2.952744
0.100040,0.890664,0.522543,0.257263,-0.264988,-0.918144
0.104042,0.532767,0.552512,-0.065680,-0.118144,1.744912
0.108043,0.424280,0.570894,-0.353261,0.028902,-2.327738
0.112045,1.330286,0.576743,0.435042,0.174872,-0.375955
0.116046,0.864170,0.569402,-0.117518,0.321042,2.044068
0.120048,1.191916,0.548527,0.123693,0.466312,-1.288431
0.124050,1.491701,0.514110,0.640944,0.611735,0.595559
0.128051,0.538753,0.466490,-0.543550,0.756441,2.260306
0.132053,0.074110,0.406349,-0.480451,0.901223,-2.432476
0.136054,1.448454,0.334711,0.148139,1.045467,-0.992013
0.140056,0.538610,0.252921,0.037095,1.189695,-0.950593
0.144058,1.603511,0.162620,0.020728,1.333545,-1.094851
0.148059,0.651557,0.065708,0.041676,1.477279,-1.418186
0.152061,2.145550,-0.035701,0.686693,1.620771,0.034356
0.156062,0.537069,-0.139323,-0.029417,1.764045,1.600241
0.160064,0.017966,-0.242772,-1.022109,1.907182,-3.068493
0.164066,0.477587,-0.343617,0.127701,2.050001,-1.397247
0.168067,0.971753,-0.439447,0.270714,2.192753,0.452122
0.172069,-0.099665,-0.527940,-0.076426,2.335098,-2.210451
0.176070,0.415249,-0.606926,0.196944,2.477411,-0.090745
0.180072,-0.611240,-0.674446,0.000485,2.619238,-1.529098
0.184074,-0.296069,-0.728814,0.365104,2.761034,-0.015557
0.188075,-0.999712,-0.768657,0.066328,2.902278,1.465564
0.192077,-1.948234,-0.792956,-0.634576,3.043462,2.826926
0.196078,-1.222489,-0.801075,-0.392448,-3.099142,-2.369888
0.200080,-0.990609,-0.792775,0.010227,-2.958676,-1.552607
0.204082,0.601903,-0.768212,0.656604,-2.818845,-0.433065
0.208083,0.443627,-0.727932,0.456841,-2.679200,0.958213
0.212085,-0.105986,-0.672843,-0.575777,-2.540202,2.470563
0.216086,0.418198,-0.604189,-0.377335,-2.401471,-2.219431
0.220088,0.786974,-0.523505,0.438308,-2.263380,-0.580564
0.224090,1.283532,-0.432573,0.222648,-2.125640,1.014277
0.228091,-0.264183,-0.333370,-0.224911,-1.988521,2.428542
