time_s,eeg_uv,theta_filtered,gamma_filtered,theta_phase_rad,gamma_phase_rad
0.000000,4.322081,0.145412,0.000850,1.411882,-1.555653
0.004002,2.798024,-0.118543,0.392526,1.669937,0.926075
0.008003,-0.399775,-0.384781,-1.252395,1.868059,2.399788
0.012005,-1.707798,-0.647902,-1.957294,2.031679,-2.666177
0.016006,-0.124031,-0.902545,-0.226403,2.191610,-1.671433
0.020008,2.222377,-1.143522,1.748925,2.332247,-0.680111
0.024010,2.583382,-1.365944,1.832528,2.475355,0.374188
0.028011,1.097443,-1.565326,0.384560,2.605333,1.335201
0.032013,-0.549304,-1.737691,-1.043022,2.739017,2.295435
0.036014,-1.441179,-1.879647,-1.438462,2.863041,-2.968723
0.040016,-1.023211,-1.988459,-0.588058,2.990798,-2.051597
0.044018,-0.251681,-2.062095,0.428427,3.111205,-1.191856
0.048019,-0.034382,-2.099256,1.030039,-3.048196,-0.307753
0.052021,-0.177682,-2.099389,0.859693,-2.930049,0.661171
0.056022,-1.652924,-2.062682,-0.226417,-2.809006,1.781150
0.060024,-2.338484,-1.990041,-0.947435,-2.692241,2.849741
0.064026,-2.402349,-1.883053,-0.810720,-2.573087,-2.514564
0.068027,-1.527811,-1.743937,0.090938,-2.457079,-1.488137
0.072029,-0.572897,-1.575484,0.972696,-2.339179,-0.386607
0.076030,-0.908615,-1.380982,0.752877,-2.223447,0.629188
0.080032,-1.469765,-1.164136,-0.013627,-2.106288,1.585693
0.084034,-2.343640,-0.928989,-0.832967,-1.990437,2.560518
0.088035,-2.232092,-0.679829,-1.021403,-1.873584,-2.714034
0.092037,-1.273102,-0.421104,-0.155903,-1.757268,-1.701909
0.096038,0.077317,-0.157338,0.899633,-1.640332,-0.772234
0.100040,0.723947,0.106960,1.465180,-1.523242,0.195403
0.104042,-0.029218,0.367368,0.445027,-1.405863,1.315018
0.108043,-1.718409,0.619634,-1.435950,-1.287715,2.459299
0.112045,-1.581647,0.859731,-1.701728,-1.169554,-2.776438
0.116046,0.056462,1.083926,-0.474499,-1.050086,-1.829597
0.120048,2.113792,1.288821,1.297368,-0.930828,-0.884030
0.124050,3.330686,1.471401,2.279221,-0.809809,0.152394
0.128051,1.743613,1.629067,0.760547,-0.689167,1.251436
0.132053,-0.576222,1.759658,-1.596769,-0.566408,2.311526
0.136054,-1.245405,1.861467,-2.311253,-0.444132,-2.989964
0.140056,0.163440,1.933249,-1.052233,-0.319491,-2.020279
0.144058,2.767159,1.974222,1.303564,-0.195386,-1.026429
0.148059,3.979984,1.984062,2.566761,-0.068796,-0.015797
0.152061,2.808720,1.962896,1.405343,0.057254,0.988750
0.156062,0.122547,1.911293,-0.971527,0.185769,1.955502
0.160064,-1.686701,1.830240,-2.739993,0.313783,2.931718
0.164066,-1.002481,1.721129,-2.050132,0.444096,-2.303382
0.168067,2.306873,1.585728,1.126649,0.573985,-1.206892
0.172069,4.324376,1.426163,3.027310,0.705867,-0.106385
0.176070,2.739789,1.244892,1.594242,0.837428,0.959814
0.180072,-0.045707,1.044678,-0.992017,0.970554,1.971848
0.184074,-1.700683,0.828560,-2.379602,1.103476,2.975772
0.188075,-0.995556,0.599822,-1.473742,1.237452,-2.285872
0.192077,1.060254,0.361949,0.505367,1.371355,-1.316922
0.196078,2.172601,0.118595,1.751891,1.505764,-0.413159
0.200080,2.164187,-0.126460,1.691846,1.640239,0.549107
0.204082,0.065910,-0.369360,-0.072633,1.774684,1.606495
0.208083,-1.839436,-0.606218,-1.772379,1.909335,2.696995
0.212085,-1.827067,-0.833176,-1.477887,2.043482,-2.531046
0.216086,-0.409511,-1.046463,0.083769,2.177968,-1.521104
0.220088,0.839613,-1.242458,1.447136,2.311574,-0.468538
0.224090,0.454632,-1.417751,1.160936,2.445643,0.646489
0.228091,-1.099456,-1.569210,-0.157435,2.578575,1.705886
0.232093,-1.925270,-1.694043,-0.823316,2.712074,2.586588
0.236094,-2.367741,-1.789864,-0.957495,2.844303,-2.849821
0.240096,-1.754942,-1.854746,-0.292385,2.977177,-1.836957
0.244098,-0.861088,-1.887282,0.837650,3.108769,-0.721503
0.248099,-0.681612,-1.886622,0.929802,-3.042133,0.351161
0.252101,-1.590391,-1.852513,0.257997,-2.911038,1.282477
0.256102,-2.251753,-1.785323,-0.597675,-2.779236,2.227177
0.260104,-2.853595,-1.686050,-1.051495,-2.648444,-3.015387
0.264106,-2.008411,-1.556324,-0.461810,-2.516959,-2.009037
0.268107,-0.912615,-1.398386,0.581451,-2.386235,-1.054959
0.272109,-0.036956,-1.215061,1.356776,-2.254862,-0.034305
0.276110,-0.408702,-1.009708,0.717499,-2.123952,1.071249
0.280112,-1.939470,-0.786162,-0.844426,-1.992458,2.168754
0.284114,-1.980151,-0.548659,-1.447627,-1.861097,3.141308
0.288115,-1.304740,-0.301750,-0.993838,-1.729230,-2.249343
0.292117,0.870929,-0.050215,0.586663,-1.597156,-1.249569
0.296118,2.423019,0.201048,1.972071,-1.464660,-0.183713
0.300120,2.149021,0.447122,1.382574,-1.331617,0.827093
0.304122,0.259637,0.683185,-0.479078,-1.198237,1.789958
0.308123,-1.214009,0.904608,-2.376110,-1.063988,2.814043
0.312125,-0.762086,1.107062,-1.961439,-0.929478,-2.375068
0.316126,2.594229,1.286606,0.749781,-0.793812,-1.288783
0.320128,4.211999,1.439777,2.457035,-0.657949,-0.286243
0.324130,4.045185,1.563665,2.053613,-0.520700,0.663895
0.328131,1.407572,1.655972,-0.286833,-0.383303,1.673396
0.332133,-1.093565,1.715061,-2.657741,-0.244361,2.733894
0.336134,-0.727228,1.739981,-2.298690,-0.105301,-2.504556
0.340136,1.743201,1.730486,0.234942,0.035377,-1.487114
0.344138,4.112841,1.687029,2.473495,0.176156,-0.468098
0.348139,3.680353,1.610749,2.281771,0.318524,0.557078
0.352141,1.153411,1.503439,0.016802,0.460986,1.564244
0.356142,-1.292269,1.367506,-2.055532,0.604895,2.542346
0.360144,-1.807486,1.205907,-2.322875,0.748899,-2.753337
0.364146,0.008897,1.022084,-0.393638,0.894103,-1.727343
0.368147,2.333359,0.819887,1.902118,1.039407,-0.688284
0.372149,2.477178,0.603492,2.227613,1.185574,0.350900
0.376150,0.524702,0.377319,0.363196,1.331847,1.409086
0.380152,-1.895117,0.145937,-1.615588,1.478580,2.471922
0.384154,-2.132327,-0.086024,-1.709970,1.625424,-2.788318
0.388155,-1.041591,-0.313963,-0.392292,1.772301,-1.813407
0.392157,0.327166,-0.533402,1.005214,1.919297,-0.843265
0.396158,0.705014,-0.740064,1.383431,2.065921,0.152819
0.400160,-0.322732,-0.929956,0.521794,2.212676,1.144271
0.404162,-1.517238,-1.099436,-0.574488,2.358714,2.088430
0.408163,-2.302965,-1.245285,-1.152771,2.504902,3.044315
0.412165,-1.992082,-1.364759,-0.696879,2.650119,-2.208171
0.416166,-0.750232,-1.455645,0.464906,2.795509,-1.146108
0.420168,-0.332260,-1.516295,1.045802,2.939784,-0.090195
0.424170,-0.532467,-1.545655,0.557081,3.084258,0.946934
0.428171,-1.616816,-1.543285,-0.294486,-3.055596,1.915571
0.432173,-1.858335,-1.509367,-0.841602,-2.912040,2.827267
0.436174,-1.964337,-1.444698,-0.781841,-2.769547,-2.485288
0.440176,-0.864736,-1.350685,0.126734,-2.626813,-1.453210
0.444178,-0.023998,-1.229309,1.028349,-2.484968,-0.437846
0.448179,0.037972,-1.083100,1.063455,-2.342873,0.527507
0.452181,-0.887801,-0.915081,0.074092,-2.201422,1.519599
0.456182,-2.271940,-0.728722,-1.460736,-2.059724,2.599801
0.460184,-2.118041,-0.527867,-1.565463,-1.918375,-2.574211
0.464186,-0.090641,-0.316668,0.106911,-1.776791,-1.514739
0.468187,1.739263,-0.099498,1.747872,-1.635239,-0.501238
0.472189,2.020059,0.119130,1.835447,-1.493474,0.532180
0.476190,0.197219,0.334661,-0.047602,-1.351417,1.592301
0.480192,-1.580626,0.542587,-1.926654,-1.209176,2.632048
0.484194,-1.243400,0.738542,-1.947930,-1.066338,-2.663322
0.488195,0.639033,0.918396,-0.282964,-0.923346,-1.695530
0.492197,3.256823,1.078341,1.847657,-0.779497,-0.693722
0.496198,3.759266,1.214979,2.334828,-0.635528,0.330369
0.500200,2.173482,1.325400,0.576489,-0.490502,1.336873
0.504202,-0.235300,1.407248,-1.751746,-0.345391,2.330333
0.508203,-0.888349,1.458779,-2.578607,-0.199104,-2.946241
0.512205,0.985027,1.478898,-0.938026,-0.052766,-1.927827
0.516206,3.802913,1.467190,1.654382,0.094775,-0.910680
0.520208,4.970125,1.423931,2.688178,0.242331,0.100084
0.524210,3.273682,1.350090,1.195286,0.391011,1.118298
0.528211,0.294548,1.247305,-1.547334,0.539665,2.165893
0.532213,-1.207612,1.117849,-2.682733,0.689263,-3.049101
0.536214,0.266893,0.964579,-1.035862,0.838794,-1.993955
0.540216,2.442045,0.790862,1.302117,0.989002,-0.973007
0.544218,3.076295,0.600508,2.135897,1.139101,0.017122
0.548219,1.752559,0.397675,1.098291,1.289546,0.996973
0.552221,-0.623133,0.186777,-0.800485,1.439841,1.991104
0.556222,-2.116078,-0.027616,-1.902075,1.590116,3.010131
0.560224,-1.679819,-0.240889,-1.125555,1.740207,-2.221258
0.564226,-0.028311,-0.448478,0.716519,1.889916,-1.140059
0.568227,0.654683,-0.645980,1.460107,2.039419,-0.084195
0.572229,-0.166440,-0.829241,0.796887,2.188218,0.866600
0.576230,-1.279124,-0.994444,-0.225133,2.336803,1.765071
0.580232,-2.331984,-1.138193,-1.110799,2.484431,2.763535
0.584234,-2.211238,-1.257574,-0.880590,2.631848,-2.439776
0.588235,-1.105759,-1.350215,0.179417,2.778141,-1.392392
0.592237,-0.535710,-1.414327,0.791083,2.924237,-0.466692
0.596238,-0.371956,-1.448732,0.809394,3.069138,0.427698
0.600240,-1.059668,-1.452877,0.142040,-3.069322,1.420017
0.604242,-1.855295,-1.426839,-0.746988,-2.925770,2.439306
0.608243,-2.034516,-1.371307,-0.997636,-2.782369,-2.844636
0.612245,-1.204163,-1.287569,-0.264947,-2.640039,-1.802045
0.616246,0.110719,-1.177467,0.932721,-2.497836,-0.713897
0.620248,0.482474,-1.043362,1.177986,-2.356532,0.345762
0.624250,-0.303057,-0.888072,0.299566,-2.215336,1.338599
0.628251,-1.374597,-0.714816,-1.018637,-2.074815,2.336254
0.632253,-1.758936,-0.527149,-1.620330,-1.934384,-2.873227
0.636255,-0.203750,-0.328887,-0.346429,-1.794374,-1.766430
0.640256,1.714145,-0.124034,1.331045,-1.654442,-0.713011
0.644258,2.039893,0.083295,1.703475,-1.514662,0.261286
0.648259,1.071724,0.288954,0.621631,-1.374949,1.232682
0.652261,-0.968231,0.488840,-1.236671,-1.235121,2.238549
0.656263,-1.540358,0.678974,-2.068835,-1.095351,-3.045169
0.660264,-0.396681,0.855566,-1.048890,-0.955219,-2.071671
0.664266,2.053957,1.015090,1.102840,-0.815135,-1.086750
0.668267,3.663897,1.154348,2.562304,-0.674481,-0.056724
0.672269,2.488146,1.270535,1.448052,-0.533870,0.996503
0.676271,-0.068544,1.361290,-1.181865,-0.392529,2.028683
0.680272,-1.631145,1.424745,-2.679040,-0.251224,3.031609
0.684274,-0.282179,1.459562,-1.728082,-0.109093,-2.245237
0.688275,2.560203,1.464964,0.976787,0.033012,-1.217296
0.692277,4.732029,1.440755,2.752108,0.175968,-0.180432
